title,url,summary,publish_date,source,scraped_at,title_length,summary_length
"After pivoting, Y Combinator grad Glimpse raises $35M led by a16z",https://techcrunch.com/2026/03/25/a16z-backed-glimpse-raises-new-funds-accelerates-dispute-tracking-automation-for-cpg-brands/,"Glimpse announced on Wednesday a $35 million Series A led by Andreessen Horowitz, with participation from 8VC and YC.",2026-03-25 13:00:00+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676630,65,117
Doss raises $55M for AI inventory management that plugs into ERP,https://techcrunch.com/2026/03/24/doss-raises-55m-for-ai-inventory-management-that-plugs-into-erp/,Doss's AI-powered inventory management system integrates with existing ERP systems. The Series B round was co-led by Madrona and Premji Invest.,2026-03-24 17:18:29+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676661,64,143
"Despite bitter rivalry, Kalshi, Polymarket CEOs back $35M predictions markets VC fund",https://techcrunch.com/2026/03/23/despite-bitter-rivalry-kalshi-polymarket-ceos-back-35m-predictions-markets-vc-fund/,"As prediction markets explode, the new firm called 5(c) Capital, will back startups supporting the burgeoning category.",2026-03-23 22:57:53+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676668,85,119
"Amid legal turmoil, Kalshi is temporarily banned in Nevada",https://techcrunch.com/2026/03/20/amidst-legal-turmoil-kalshi-is-temporarily-banned-in-nevada/,It's the latest escalation in a regulatory battle over the future of prediction markets.,2026-03-20 19:15:55+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676674,58,88
Polymarket continues its partnership spree with a Major League Baseball deal,https://techcrunch.com/2026/03/19/polymarket-continues-its-partnership-spree-with-a-major-league-baseball-deal/,MLB is only the latest in a string of recently announced partnerships involving the prediction market.,2026-03-19 19:46:30+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676679,76,102
TechCrunch Startup Battlefield 200 nominations are still open,https://techcrunch.com/2026/03/19/techcrunch-startup-battlefield-200-nominations-are-still-open/,"Nominate your startup, or one you know, for TechCrunch Startup Battlefield 200 before May 27. Chance to win $100,000 equity-free funding and VC access.",2026-03-19 15:00:00+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676685,61,151
"Kalshi’s legal troubles pile up, as Arizona files first ever criminal charges over ‘illegal gambling business’",https://techcrunch.com/2026/03/17/kalshis-legal-troubles-pile-up-as-arizona-files-first-ever-criminal-charges-over-illegal-gambling-business/,It's the latest salvo in an escalating battle between state regulators and an industry that claims it's not beholden to them.,2026-03-17 21:39:17+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676701,110,125
Fuse raises $25M  to disrupt aging loan origination systems used by US credit unions,https://techcrunch.com/2026/03/16/fuse-raises-25m-to-disrupt-aging-loan-origination-systems-used-by-u-s-credit-unions/,"The startup also announced a $5 million ""rescue fund"" to help credit unions ditch legacy software for its AI-native platform.",2026-03-16 17:43:27+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676706,84,125
Walmart-backed PhonePe shelves IPO as global tensions rattle markets,https://techcrunch.com/2026/03/16/walmart-backed-phonepe-shelves-ipo-as-global-tensions-rattle-markets/,"PhonePe has paused its planned IPO, delaying a major liquidity event for investors including Tiger Global and Microsoft.",2026-03-16 13:02:47+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676711,68,120
India neobank Fi winds down banking services on its platform,https://techcrunch.com/2026/03/11/india-neobank-fi-winds-down-banking-services-on-its-platform/,"Fi, founded by former Google Pay executives, is discontinuing banking services over four years after launch.",2026-03-11 22:17:44+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676716,60,108
"In a vote of confidence for Meta’s Threads, Kalshi adds sharing feature",https://techcrunch.com/2026/03/10/in-a-vote-of-confidence-for-metas-threads-kalshi-adds-sharing-feature/,Kalshi now offers a share option that will automatically embed the relevant prediction market chart into a Threads post.,2026-03-10 23:01:47+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676721,71,120
"X taps William Shatner to give out invites to its payments service, X Money",https://techcrunch.com/2026/03/04/x-taps-william-shatner-to-give-out-invites-to-its-payments-service-x-money/,42 X users donated to William Shatner's charity in exchange for an early invite to X Money beta.,2026-03-04 16:34:21+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676726,75,96
Stripe wants to turn your AI costs into a profit center,https://techcrunch.com/2026/03/02/stripe-wants-to-turn-your-ai-costs-into-a-profit-center/,"Stripe released a preview intended to allow AI companies to easily track, pass through, and make a profit on underlying AI model fees.",2026-03-02 23:18:27+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676732,55,134
Geopolitical drama reportedly stalls IPO of SoftBank-backed PayPay,https://techcrunch.com/2026/03/02/geopolitical-drama-reportedly-stalls-ipo-of-softbank-backed-paypay/,The Japan-based company reportedly aimed for a public valuation of at least ¥1.5 trillion ($10 billion).,2026-03-02 23:01:57+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676736,66,104
Polymarket saw $529M traded on bets tied to bombing of Iran,https://techcrunch.com/2026/03/01/polymarket-saw-529m-traded-on-bets-tied-to-bombing-of-iran/,Six newly-created accounts made a profit of $1 million by correctly betting that the U.S. would strike Iran by February 28.,2026-03-01 19:05:35+00:00,TechCrunch Fintech,2026-03-30T15:53:15.676741,59,123
